Invoice Number,Invoice Date,Invoice Type,Sales Return Number,Shipment Number,Sales Order Number,Customer Code,Party Group,Site,Rounded Amount,Invoice Status
910038010,07-06-2024,Tax Invoice,,800041868,200038131,100025,A ZONE,Spices,130982,Approved
910037938,04-06-2024,Tax Invoice,,800041789,200038050,100039,B ZONE,Spices,209349,Approved
949903616,05-06-2024,Tax Invoice,,813003769,407003731,100039,B ZONE,Tea,17873,Approved
910037929,04-06-2024,Tax Invoice,,800041780,200038044,100043,C ZONE,Spices,117361,Approved
910037930,04-06-2024,Tax Invoice,,800041786,200038048,100043,C ZONE,Spices,1336,Approved
910037894,03-06-2024,Tax Invoice,,800041754,200038019,100046,C ZONE,Spices,495409,Approved
910037920,03-06-2024,Tax Invoice,,800041775,200038036,100046,C ZONE,Spices,987048,Approved
920022003,03-06-2024,Tax Invoice,,802024561,210022537,100046,C ZONE,Pasta& Vermicelli,43216,Approved
920022013,04-06-2024,Tax Invoice,,802024577,210022553,100046,C ZONE,Pasta& Vermicelli,43216,Approved
910037959,05-06-2024,Tax Invoice,,800041811,200038075,100050,C ZONE,Spices,1360386,Approved
920022047,06-06-2024,Tax Invoice,,802024600,210022577,100050,C ZONE,Pasta& Vermicelli,140068,Approved
910037905,03-06-2024,Tax Invoice,,800041761,200038021,100056,C ZONE,Spices,623526,Approved
910037944,04-06-2024,Tax Invoice,,800041796,200038060,100061,F ZONE,Spices,814588,Approved
920022029,05-06-2024,Tax Invoice,,802024588,210022567,100061,F ZONE,Pasta& Vermicelli,14330,Approved
949903615,05-06-2024,Tax Invoice,,813003770,407003732,100061,F ZONE,Tea,5278,Approved
965012719,04-06-2024,Bill of Supply,,86012926,330012934,100061,F ZONE,Spices,11939,Approved
910037925,04-06-2024,Tax Invoice,,800041777,200038040,100063,F ZONE,Spices,874951,Approved
910037973,06-06-2024,Tax Invoice,,800041834,200038100,100063,F ZONE,Spices,309567,Approved
910038011,07-06-2024,Tax Invoice,,800041866,200038129,100063,F ZONE,Spices,450742,Approved
920022017,04-06-2024,Tax Invoice,,802024578,210022556,100063,F ZONE,Pasta& Vermicelli,13989,Approved
920022049,06-06-2024,Tax Invoice,,802024607,210022582,100063,F ZONE,Pasta& Vermicelli,25786,Approved
949903610,04-06-2024,Tax Invoice,,813003765,407003727,100063,F ZONE,Tea,6647,Approved
